Age,Height,Weight,Foot,Country,Player_score
18,180,78,Left,Italy,46
18,170,67,Left,England,4
18,174,70,Left,Germany,37
18,181,74,Left,Germany,17
18,180,74,Left,Germany,34
18,185,77,Left,England,67
18,188,76,Left,Germany,87
18,167,61,Left,England,27
18,175,70,Left,Germany,63
18,194,84,Left,Germany,11
18,175,61,Left,Italy,99
18,185,80,Left,Germany,98
18,174,66,Left,Germany,74
18,183,75,Left,Italy,77
18,176,72,Left,Italy,36
18,176,61,Left,England,18
18,185,78,Left,Germany,9
18,175,64,Left,Italy,27
18,180,82,Left,Italy,70
18,190,79,Left,Italy,12
18,174,64,Left,England,56
18,173,67,Left,England,12
18,173,62,Left,Germany,79
18,183,70,Left,Italy,61
18,176,70,Left,Germany,48
18,178,64,Left,Italy,26
18,190,75,Left,Italy,44
18,188,73,Left,England,20
18,185,77,Left,Germany,25
18,168,67,Left,England,58
18,168,67,Left,Italy,87
18,171,60,Left,England,74
18,175,74,Left,Germany,58
18,185,73,Left,England,2
18,170,65,Left,Germany,91
18,172,68,Left,England,66
18,185,75,Left,Italy,83
18,196,90,Left,Italy,39
18,180,75,Left,Italy,36
18,195,80,Left,Germany,53
18,185,84,Left,Italy,13
18,180,72,Left,Italy,63
18,168,65,Left,Italy,63
18,180,75,Left,Italy,75
18,180,68,Left,Italy,4
18,172,64,Left,Italy,10
18,185,72,Left,England,60
18,178,70,Left,England,38
18,175,79,Left,Germany,84
18,166,65,Left,England,9
18,182,64,Left,Germany,79
18,189,78,Left,Germany,24
18,171,65,Left,Italy,36
18,172,70,Left,Italy,67
18,184,78,Left,England,69
18,172,68,Left,England,41
18,175,70,Left,Italy,47
18,196,80,Left,Italy,15
18,186,78,Left,Italy,88
18,182,76,Left,Italy,84
18,186,75,Left,Italy,8
18,176,76,Left,Germany,86
18,175,68,Left,Germany,26
18,177,64,Left,Germany,18
18,183,79,Left,England,68
18,179,72,Left,Germany,41
18,186,74,Left,England,37
18,172,67,Left,Italy,9
18,178,70,Left,Germany,75
18,175,70,Left,Germany,20
18,191,79,Left,Italy,0
18,173,67,Left,Italy,31
18,166,56,Left,England,96
18,180,76,Left,England,95
18,182,72,Left,England,88
18,175,66,Left,England,80
18,173,68,Left,Italy,13
18,188,80,Left,Italy,60
18,187,71,Left,Italy,43
18,170,66,Left,Germany,23
18,186,74,Left,Germany,72
18,174,58,Left,Italy,24
18,181,73,Left,Germany,40
18,183,77,Left,Germany,79
18,197,81,Left,Italy,4
18,177,66,Left,Italy,42
18,172,70,Left,England,94
18,180,75,Left,Germany,43
18,176,70,Left,Italy,85
18,173,55,Left,Germany,51
18,178,72,Left,Italy,46
18,171,72,Left,Italy,18
18,184,80,Left,Italy,86
18,178,72,Left,Italy,47
18,180,73,Left,Italy,55
18,180,75,Left,Italy,5
18,186,72,Left,England,22
18,178,68,Left,Italy,82
18,179,63,Left,Italy,22
18,180,70,Left,Germany,59
18,184,82,Left,Italy,9
18,179,77,Left,Italy,8
18,182,78,Left,Germany,66
18,185,75,Left,Italy,59
18,183,74,Left,Germany,76
18,174,65,Left,Germany,15
18,183,78,Left,Italy,90
18,191,70,Left,Italy,18
18,175,68,Left,England,22
18,187,74,Left,England,41
18,181,71,Left,Italy,82
18,176,71,Left,England,43
18,177,72,Left,Italy,11
18,183,75,Left,Germany,47
18,178,72,Left,Germany,77
18,180,77,Left,Italy,36
18,187,80,Left,England,41
18,186,76,Left,Germany,10
18,181,73,Left,Italy,69
18,186,81,Left,Germany,30
18,173,61,Left,Germany,57
18,170,70,Left,Italy,79
18,176,69,Left,Germany,47
18,180,68,Left,Germany,50
18,177,74,Left,Germany,64
18,184,85,Left,England,79
18,173,81,Left,Italy,79
18,172,65,Left,England,14
18,185,75,Left,Germany,95
18,175,66,Left,Germany,43
18,182,79,Left,Germany,31
18,166,56,Left,England,50
18,192,84,Left,Italy,15
18,191,82,Left,Italy,16
18,187,74,Left,England,98
18,185,71,Left,Italy,74
18,170,65,Left,England,85
18,177,73,Left,Germany,68
18,176,78,Left,England,26
18,170,65,Left,England,32
18,180,74,Left,Italy,60
18,188,82,Left,Italy,77
18,177,70,Left,Italy,88
18,170,65,Left,Italy,72
18,173,73,Left,Germany,23
18,177,69,Left,Italy,89
18,174,72,Left,Italy,50
18,176,78,Left,Germany,19
18,175,76,Left,England,46
18,178,65,Left,Germany,90
18,173,69,Left,England,22
18,168,64,Left,England,64
18,181,70,Left,Germany,83
18,175,67,Left,Italy,0
18,185,80,Left,England,92
18,187,67,Left,Italy,8
18,178,67,Left,Italy,75
18,172,60,Left,Germany,90
18,186,80,Left,Germany,9
18,177,75,Left,Italy,45
18,180,71,Left,Germany,35
18,185,78,Left,England,60
18,178,74,Left,Italy,72
18,176,67,Left,Germany,74
18,181,67,Left,Italy,71
18,171,72,Left,Germany,23
18,178,68,Left,Germany,45
18,185,75,Left,Germany,89
18,176,70,Left,Germany,6
18,188,76,Left,England,18
18,175,66,Left,Germany,3
18,180,67,Left,Germany,98
18,191,78,Left,Germany,72
18,170,68,Left,Italy,17
18,171,70,Left,England,37
18,178,65,Left,Germany,40
18,178,69,Left,Italy,16
18,169,52,Left,Germany,66
18,187,83,Left,Germany,67
18,174,60,Left,Germany,5
18,180,75,Left,Italy,87
18,195,80,Left,England,66
18,178,64,Left,England,70
18,185,81,Left,Italy,41
18,172,67,Left,England,89
18,175,65,Left,Germany,75
18,178,64,Left,Germany,95
18,175,65,Left,Italy,80
18,184,70,Left,Germany,21
18,184,78,Left,Italy,66
18,168,62,Left,Germany,60
18,167,60,Left,England,66
18,191,77,Left,Italy,41
18,175,67,Left,Italy,39
18,185,80,Left,Italy,79
18,200,79,Left,Germany,23
19,185,70,Right,England,79
19,187,82,Right,Germany,88
19,184,74,Right,Germany,92
19,180,75,Right,Germany,85
19,190,78,Right,Italy,41
19,176,70,Right,Italy,95
19,175,70,Right,Germany,23
19,184,78,Right,Germany,95
19,167,58,Right,Germany,85
19,171,64,Right,Germany,79
19,183,78,Right,England,84
19,179,72,Right,Germany,72
19,173,66,Right,Germany,2
19,186,75,Right,Germany,56
19,178,78,Right,Italy,47
19,185,75,Right,England,80
19,180,78,Right,Italy,9
19,180,70,Right,England,73
19,180,70,Right,England,55
19,181,81,Right,Italy,73
19,190,82,Right,Italy,53
19,180,70,Right,England,32
19,178,65,Right,Germany,72
19,174,79,Right,Germany,98
19,185,81,Right,Italy,36
19,185,73,Right,England,36
19,186,78,Right,Italy,27
19,180,73,Right,England,93
19,173,66,Right,England,88
19,175,68,Right,England,26
19,177,76,Right,Germany,4
19,175,68,Right,Italy,37
19,181,68,Right,Germany,89
19,175,67,Right,Germany,38
19,190,81,Right,England,17
19,175,65,Right,Germany,8
19,190,80,Right,England,85
19,188,74,Right,Germany,40
19,172,68,Right,Germany,46
19,178,68,Right,England,61
19,193,93,Right,Germany,56
19,187,80,Right,Germany,66
19,195,91,Right,Italy,83
19,190,82,Right,Italy,23
19,182,64,Right,Germany,2
19,169,64,Right,England,60
19,180,70,Right,Italy,34
19,182,75,Right,England,8
19,168,65,Right,Italy,25
19,167,63,Right,England,51
19,187,83,Right,Italy,83
19,176,78,Right,Italy,32
19,191,77,Right,Italy,86
19,180,74,Right,England,34
19,175,70,Right,Italy,16
19,181,68,Right,Germany,87
19,181,75,Right,Italy,28
19,188,85,Right,Germany,0
19,180,77,Right,Germany,34
19,173,63,Right,Italy,25
19,173,66,Right,Germany,37
19,184,71,Right,Italy,92
19,172,70,Right,Germany,68
19,176,70,Right,England,84
19,180,70,Right,Italy,66
19,180,76,Right,Germany,68
19,183,85,Right,Germany,83
19,183,78,Right,Germany,58
19,175,70,Right,England,84
19,174,67,Right,Italy,4
19,182,72,Right,Germany,13
19,182,74,Right,Italy,59
19,172,66,Right,Italy,43
19,181,72,Right,Germany,91
19,170,65,Right,Germany,82
19,170,74,Right,England,55
19,183,82,Right,Italy,67
19,178,68,Right,Germany,79
19,182,70,Right,England,2
19,178,67,Right,Italy,32
19,191,72,Right,England,45
19,180,73,Right,England,59
19,184,78,Right,England,61
19,183,92,Right,Italy,63
19,188,75,Right,Italy,85
19,185,80,Right,Italy,6
19,174,70,Right,Germany,47
19,178,74,Right,England,35
19,182,72,Right,Italy,73
19,183,74,Right,Germany,74
19,187,69,Right,Italy,37
19,181,70,Right,England,86
19,173,65,Right,Italy,95
19,183,82,Right,Germany,51
19,185,75,Right,Italy,6
19,172,70,Right,Italy,68
19,184,81,Right,England,27
19,192,78,Right,England,9
19,175,70,Right,England,24
19,174,68,Right,Germany,95
19,170,66,Right,Germany,79
19,191,77,Right,Germany,72
19,196,84,Right,Germany,43
19,182,77,Right,Germany,62
19,170,70,Right,Italy,35
19,188,73,Right,England,55
19,173,69,Right,Germany,64
19,185,70,Left,Italy,69
19,177,79,Left,England,6
19,190,78,Left,Germany,27
19,172,67,Left,Italy,58
19,188,76,Left,England,73
19,179,63,Left,Germany,36
19,180,79,Left,Italy,31
19,178,72,Left,Germany,72
19,180,68,Left,Italy,48
19,177,66,Left,England,71
19,187,77,Left,Italy,14
19,181,70,Left,England,71
19,178,67,Left,Italy,24
19,172,65,Left,England,11
19,179,71,Left,England,52
19,180,70,Left,Italy,36
19,188,75,Left,England,78
19,185,77,Left,Italy,4
19,183,62,Left,Germany,66
19,181,72,Left,Italy,91
19,180,77,Left,England,1
19,172,72,Left,Germany,70
19,175,75,Left,Germany,43
19,186,80,Left,Germany,82
19,180,73,Left,Germany,29
19,179,64,Left,Germany,92
19,185,77,Left,England,27
19,179,73,Left,Italy,47
19,185,77,Left,England,25
19,178,71,Left,England,88
19,188,74,Left,England,54
19,183,75,Left,Italy,37
19,193,93,Left,Germany,23
19,182,78,Left,England,85
19,174,59,Left,Italy,87
19,170,66,Left,Italy,80
19,170,71,Left,Germany,0
19,189,75,Left,Italy,72
19,173,70,Left,Italy,6
19,170,60,Left,Germany,53
19,183,75,Left,England,17
19,181,74,Left,England,90
19,172,68,Left,Germany,87
19,175,63,Left,Italy,35
19,170,66,Left,England,44
19,178,64,Left,Germany,76
19,177,71,Left,Germany,47
19,182,75,Left,England,67
19,175,66,Left,Italy,22
19,187,85,Left,Italy,56
19,177,75,Left,Germany,1
19,185,83,Left,England,83
19,179,68,Left,Germany,32
19,174,78,Left,Germany,24
19,194,90,Left,Italy,78
19,184,78,Left,Italy,93
19,185,70,Left,England,20
19,178,72,Left,Germany,84
19,186,69,Left,England,51
19,182,77,Left,Italy,94
19,184,69,Left,Germany,95
19,180,78,Left,Italy,77
19,177,70,Left,England,56
19,185,78,Left,Germany,10
19,180,75,Left,Italy,17
19,181,76,Left,Italy,29
19,175,69,Left,England,71
19,180,70,Left,Germany,34
19,177,76,Left,England,15
19,174,68,Left,England,61
19,186,77,Left,England,30
19,184,79,Left,England,75
19,189,77,Left,England,28
19,185,69,Left,Germany,70
19,177,73,Left,England,65
19,184,75,Left,Germany,16
19,186,78,Left,Germany,80
19,171,61,Left,Germany,56
19,181,70,Left,Germany,98
19,183,82,Left,Italy,41
19,183,76,Left,England,43
19,170,62,Left,Germany,53
19,180,74,Left,England,68
19,181,75,Left,Germany,79
19,185,81,Left,Italy,96
19,172,69,Left,Germany,57
19,180,77,Left,England,0
19,173,66,Left,Germany,71
19,173,65,Left,Italy,51
19,186,79,Left,Germany,94
19,170,63,Left,England,95
19,182,75,Left,Germany,24
19,185,73,Left,Italy,56
19,188,80,Left,England,61
19,178,74,Left,England,83
19,194,85,Left,Italy,67
19,174,71,Left,England,24
19,183,76,Left,Germany,17
19,172,65,Left,Germany,9
19,175,66,Left,Italy,37
19,178,67,Left,Italy,4
19,183,76,Left,England,55
19,170,64,Left,Italy,95
19,173,65,Left,Italy,98
19,181,69,Left,England,95
19,188,78,Left,Germany,70
19,185,81,Left,Italy,93
19,178,70,Left,Germany,63
19,183,75,Left,Germany,90
19,183,75,Left,England,52
19,186,78,Left,England,65
19,165,55,Left,Italy,14
19,171,63,Left,England,79
19,182,73,Left,Italy,6
19,176,67,Left,England,74
19,187,76,Left,England,98
19,188,75,Left,England,37
19,188,70,Left,Italy,76
19,180,76,Left,Italy,47
19,178,74,Left,Italy,9
19,175,68,Left,England,41
19,172,70,Left,England,36
19,185,65,Left,Germany,89
19,192,90,Left,England,71
19,185,75,Left,Italy,76
19,174,78,Left,Germany,12
19,180,70,Left,Italy,23
19,184,81,Left,England,7
19,190,78,Left,Italy,48
19,186,72,Left,Italy,11
19,184,77,Left,Germany,37
19,191,75,Left,Germany,93
19,172,65,Left,Germany,69
19,185,68,Left,Germany,35
19,179,73,Left,England,8
19,189,78,Left,England,40
19,173,60,Left,England,41
19,184,82,Left,England,6
19,187,80,Left,Germany,36
19,186,78,Left,Italy,92
19,185,75,Left,England,44
19,178,70,Left,Italy,41
19,187,71,Left,England,2
19,182,80,Left,Italy,16
19,189,85,Left,England,5
19,180,75,Left,Italy,50
19,193,85,Left,Germany,55
19,185,79,Left,England,8
19,180,68,Left,Italy,89
19,185,75,Left,Germany,90
19,185,79,Left,England,64
19,176,74,Left,England,20
19,179,62,Left,England,76
19,172,68,Left,England,24
19,188,68,Left,Italy,54
19,182,73,Left,Italy,57
19,179,68,Left,Germany,72
19,182,76,Left,Germany,89
19,190,81,Left,England,67
19,188,78,Left,England,53
19,176,79,Left,England,22
19,190,85,Left,England,42
19,175,68,Left,Italy,33
19,185,71,Left,Germany,29
19,187,80,Left,England,15
19,177,65,Left,Italy,34
19,188,70,Left,England,18
19,175,70,Left,Germany,72
19,178,75,Left,England,97
19,178,73,Left,England,84
19,173,66,Left,Italy,46
19,192,81,Left,England,36
19,177,73,Left,England,48
19,169,60,Left,England,57
19,183,75,Left,England,20
19,180,75,Left,Italy,55
19,196,80,Left,Italy,96
19,181,75,Left,England,70
19,188,78,Left,Italy,56
19,173,66,Left,Italy,9
19,178,70,Left,Italy,17
19,178,66,Left,England,1
19,183,75,Left,Germany,97
19,176,70,Left,England,19
19,183,74,Left,Italy,69
19,184,71,Left,Germany,98
19,185,78,Left,Germany,32
19,191,86,Left,England,54
19,177,73,Left,England,29
19,184,78,Left,Germany,39
19,177,61,Left,Germany,54
19,183,78,Left,Germany,45
19,185,74,Left,Italy,62
19,174,62,Left,Germany,92
19,182,72,Left,England,58
19,182,70,Left,England,27
19,175,75,Left,Germany,53
19,187,80,Left,Germany,10
19,183,78,Left,Germany,28
19,185,85,Left,Italy,16
19,172,72,Left,Germany,93
19,168,65,Left,Germany,30
19,180,75,Left,England,69
19,181,71,Left,England,42
19,176,70,Left,Germany,5
19,182,75,Left,Italy,15
19,180,85,Left,England,64
19,182,76,Left,Italy,93
19,182,75,Left,Germany,27
19,180,77,Left,Germany,67
19,178,69,Left,Germany,45
19,175,67,Left,Italy,69
19,175,70,Left,Italy,19
19,183,78,Left,Italy,91
19,185,77,Left,England,40
19,178,64,Left,England,59
19,183,70,Left,Italy,28
19,177,70,Left,England,64
19,193,80,Left,Germany,34
19,173,67,Left,Italy,27
19,175,65,Left,Germany,55
19,189,78,Left,Italy,2
19,193,80,Left,Italy,0
19,182,78,Left,Germany,41
19,180,75,Left,Italy,67
19,169,73,Left,Germany,26
19,179,72,Left,Italy,36
19,177,61,Left,England,57
19,186,80,Left,Germany,86
19,183,77,Left,Italy,32
19,185,73,Left,Italy,62
19,174,68,Left,Germany,97
19,175,67,Left,Italy,49
19,165,55,Left,Germany,9
19,170,68,Left,Italy,40
19,183,75,Left,Germany,42
19,174,67,Left,Italy,28
19,176,69,Left,Italy,38
19,174,72,Left,Germany,4
19,183,71,Left,Germany,84
19,180,69,Left,Germany,71
19,177,75,Left,England,67
19,188,84,Left,England,47
19,182,72,Left,Italy,29
19,193,80,Left,Germany,65
19,185,75,Left,Italy,59
19,184,79,Left,England,99
19,181,70,Left,Italy,15
19,180,70,Left,England,42
19,180,65,Left,Germany,43
19,190,85,Left,England,19
19,189,81,Left,England,4
19,187,85,Left,England,27
19,175,64,Left,Germany,93
19,175,70,Left,England,38
19,180,73,Left,England,28
19,174,67,Left,England,15
19,181,76,Left,England,90
19,187,78,Left,Italy,61
19,192,75,Left,Italy,31
19,176,72,Left,Germany,36
19,181,64,Left,Germany,29
19,183,70,Left,Italy,99
19,178,70,Left,Germany,93
19,180,75,Left,Italy,26
19,174,73,Left,Germany,29
19,175,65,Left,Italy,79
19,192,89,Left,Germany,70
19,190,80,Left,Italy,78
19,170,63,Left,England,72
19,180,78,Left,Germany,37
19,189,78,Left,Italy,1
19,190,81,Left,Germany,33
19,185,69,Left,Germany,88
19,183,74,Left,Germany,46
19,182,75,Left,Germany,4
19,176,70,Left,England,49
19,187,81,Left,Italy,7
19,174,72,Left,Germany,6
19,178,64,Left,Italy,97
19,182,75,Left,Italy,37
19,182,64,Left,Germany,9
19,193,75,Left,Italy,77
19,170,66,Left,England,65
19,176,72,Left,Italy,6
19,179,69,Left,England,59
19,180,68,Left,Italy,77
19,184,80,Left,England,53
19,189,84,Left,Italy,3
19,187,84,Left,Italy,46
19,181,75,Left,Italy,16
19,184,78,Left,Italy,78
19,178,72,Left,England,21
19,175,72,Left,Germany,90
19,179,65,Left,Italy,32
19,180,74,Left,England,32
19,197,87,Left,Italy,36
19,178,62,Left,Italy,1
19,164,66,Left,England,77
19,174,70,Left,Germany,23
19,184,75,Left,England,49
19,178,65,Left,Germany,9
19,171,65,Left,Germany,39
19,181,70,Left,Italy,98
19,180,72,Left,Germany,36
19,190,79,Left,Italy,93
19,194,80,Left,Germany,66
19,195,80,Left,England,67
19,178,68,Left,Germany,9
19,186,82,Left,England,78
19,172,64,Left,England,34
19,189,82,Left,Italy,37
19,178,73,Left,England,79
19,191,80,Left,England,16
19,180,75,Left,England,65
19,190,80,Left,Germany,0
19,170,79,Left,Italy,80
19,185,64,Left,England,60
19,188,73,Left,England,40
19,180,75,Left,England,34
19,172,66,Left,England,30
19,175,64,Left,England,95
19,173,69,Left,England,72
19,170,65,Left,England,17
19,188,77,Left,England,94
19,175,70,Left,England,24
19,184,71,Left,Germany,73
19,182,73,Left,England,0
19,168,65,Left,Germany,38
19,167,61,Left,England,10
19,184,71,Left,Italy,60
19,173,64,Left,England,13
19,180,75,Left,Germany,13
19,175,75,Left,Germany,75
19,179,73,Left,Italy,19
19,180,68,Left,England,75
19,187,80,Left,Germany,14
19,168,59,Left,Italy,83
19,184,70,Left,Italy,83
19,172,72,Left,Germany,47
19,179,74,Left,Germany,94
19,180,70,Left,Germany,67
19,192,82,Left,Italy,89
19,178,70,Left,Italy,67
19,174,59,Left,Italy,22
19,175,68,Left,England,19
19,184,75,Left,England,34
19,177,63,Left,England,9
19,180,73,Left,Italy,96
19,170,64,Left,Italy,58
19,172,60,Left,England,32
19,194,74,Left,Italy,91
19,181,74,Left,England,10
19,182,68,Left,Italy,36
19,170,80,Left,Italy,99
19,187,72,Left,Italy,28
19,180,75,Left,Italy,39
19,175,68,Left,England,73
19,192,85,Left,Germany,23
19,184,78,Left,Germany,90
19,178,74,Left,Italy,15
19,185,72,Left,Italy,72
19,188,80,Left,Germany,70
19,180,71,Left,Germany,36
19,173,63,Left,Germany,31
19,183,75,Left,England,69
19,178,65,Left,Germany,26
19,184,70,Left,Italy,83
19,186,71,Left,Germany,10
19,190,77,Left,England,54
19,194,87,Left,England,6
19,186,75,Left,Italy,82
19,191,89,Left,Germany,60
19,180,76,Left,Italy,75
19,172,65,Left,Germany,43
19,178,70,Left,Germany,70
19,177,67,Left,Italy,36
19,178,63,Left,Italy,70
19,180,72,Left,Germany,29
19,178,83,Left,Italy,24
19,187,78,Left,Italy,90
19,183,72,Left,Germany,82
19,178,72,Left,England,95
19,181,65,Left,Germany,2
19,175,77,Left,Italy,32
19,175,77,Left,Italy,17
19,183,79,Left,Italy,36
19,186,77,Left,Italy,38
19,178,70,Left,Germany,9
19,173,69,Left,Italy,35
19,193,88,Left,England,93
19,180,69,Left,England,21
19,184,79,Left,Italy,98
19,188,76,Left,Italy,21
19,175,67,Left,England,2
19,190,72,Left,Germany,53
19,185,76,Left,England,38
19,165,62,Left,Germany,48
19,192,82,Left,Italy,59
19,180,67,Left,Germany,97
19,177,76,Left,England,22
19,180,75,Left,Germany,25
19,175,70,Left,Germany,70
19,190,82,Left,England,53
19,189,72,Left,England,56
19,179,71,Left,Germany,47
19,183,68,Left,Germany,94
19,173,72,Left,Germany,17
19,172,74,Left,Italy,98
19,178,72,Left,England,79
19,168,62,Left,England,68
19,183,75,Left,Italy,41
19,175,79,Left,Italy,98
19,183,75,Left,Italy,54
19,170,63,Left,Germany,37
19,178,70,Left,England,27
19,181,64,Left,Italy,54
19,175,68,Left,Italy,68
19,170,62,Left,England,34
19,180,70,Left,England,18
19,183,84,Left,Italy,44
19,176,70,Left,Italy,40
19,175,70,Left,England,11
19,181,75,Left,England,95
19,180,78,Left,England,76
19,184,73,Left,England,16
19,179,80,Left,Italy,5
19,186,75,Left,England,0
19,175,70,Left,Italy,20
19,189,75,Left,England,21
19,180,60,Left,Germany,15
19,185,78,Left,Germany,74
19,181,75,Left,Italy,9
19,177,72,Left,England,90
19,185,75,Left,Italy,38
19,183,76,Left,Germany,97
19,186,77,Left,Germany,14
20,178,67,Right,Italy,3
20,175,73,Right,Germany,79
20,171,75,Right,Germany,45
20,176,72,Right,England,39
20,181,78,Right,Germany,53
20,185,83,Right,England,58
20,182,80,Right,Italy,16
20,176,65,Right,Germany,28
20,183,76,Right,Italy,65
20,180,73,Right,Italy,27
20,180,75,Right,Italy,70
20,169,70,Right,England,71
20,183,74,Right,Germany,56
20,178,70,Right,Italy,11
20,176,68,Right,Germany,7
20,183,74,Right,England,28
20,180,72,Right,Italy,53
20,173,67,Right,England,82
20,183,78,Right,Germany,72
20,178,68,Right,Italy,61
20,185,86,Right,Italy,97
20,179,76,Right,Italy,49
20,180,76,Right,Italy,32
20,183,75,Right,Germany,78
20,182,89,Right,England,48
20,173,66,Right,Italy,17
20,194,92,Right,Germany,30
20,183,77,Right,England,94
20,184,74,Right,Germany,31
20,175,59,Right,England,10
20,175,70,Right,Germany,50
20,167,60,Right,England,52
20,186,80,Right,Italy,39
20,183,74,Right,England,44
20,185,82,Right,Germany,83
20,183,78,Right,Germany,75
20,181,70,Right,England,60
20,167,58,Right,Germany,76
20,181,76,Right,Italy,2
20,188,78,Right,Italy,10
20,182,79,Right,Italy,94
20,175,66,Right,England,42
20,190,83,Right,England,0
20,191,70,Right,England,14
20,183,75,Right,Italy,6
20,179,70,Right,Germany,96
20,182,70,Right,England,89
20,173,63,Right,Italy,81
20,184,74,Right,Germany,92
20,189,78,Right,Italy,77
20,178,70,Right,Germany,58
20,184,78,Right,Italy,9
20,185,78,Right,Germany,92
20,186,81,Right,Germany,20
20,180,72,Right,Italy,27
20,176,70,Right,England,42
20,183,71,Right,England,64
20,168,70,Right,England,48
20,189,75,Right,Germany,23
20,178,66,Right,England,6
20,184,77,Right,England,86
20,182,74,Right,England,60
20,177,71,Right,Italy,11
20,188,77,Right,Italy,11
20,172,68,Right,Italy,0
20,179,69,Right,Germany,68
20,175,65,Right,Italy,78
20,184,78,Right,Italy,31
20,187,75,Right,England,70
20,171,67,Right,Germany,66
20,181,68,Right,Germany,7
20,178,78,Right,Italy,55
20,172,65,Right,Germany,30
20,180,71,Right,Italy,58
20,172,67,Right,England,18
20,185,83,Right,Italy,47
20,180,75,Right,England,46
20,191,80,Right,England,56
20,184,75,Right,Germany,41
20,188,74,Right,England,16
20,177,69,Right,England,84
20,186,76,Right,England,85
20,179,67,Right,Italy,3
20,172,70,Right,Germany,40
20,170,66,Right,England,77
20,175,64,Right,Germany,69
20,189,78,Right,England,36
20,180,73,Right,Italy,47
20,179,73,Right,Italy,99
20,190,78,Right,Germany,40
20,181,66,Right,Italy,79
20,175,71,Right,Germany,72
20,178,66,Right,Germany,83
20,171,69,Right,England,6
20,182,70,Right,Germany,30
20,192,75,Right,Italy,81
20,170,63,Right,Italy,14
20,181,75,Right,Italy,77
20,178,77,Right,England,98
20,169,65,Right,Germany,98
20,175,68,Right,England,4
20,179,66,Right,Italy,43
20,172,68,Right,England,99
20,178,63,Right,England,69
20,182,80,Right,England,79
20,188,87,Right,England,80
20,182,70,Right,Germany,35
20,176,69,Right,Italy,89
