"Date","Time","CO","NMHC","Benzene","NOx","NO2","Temp","RH","AH"
"22/03/2004","18:00:00",3.8,426,18.3,213,129,17,43.1,0.8264
"22/03/2004","19:00:00",4.4,672,21,232,143,15.6,47.4,0.8347
"22/03/2004","20:00:00",4.5,624,21,238,146,15.3,47.4,0.8178
"22/03/2004","21:00:00",3.3,325,14.5,180,124,14.5,49.7,0.8177
"22/03/2004","22:00:00",2,143,8.4,128,113,13.9,52,0.8231
"22/03/2004","23:00:00",1.1,89,4.3,65,80,14.5,49.4,0.8106
"23/03/2004","00:00:00",0.9,73,3.8,53,72,13.8,51.4,0.8071
"23/03/2004","01:00:00",0.8,48,2.7,47,64,14,51.3,0.8163
"23/03/2004","02:00:00",0.7,47,2.5,51,70,13,56.8,0.8444
"23/03/2004","05:00:00",0.3,19,0.6,13,22,8.8,80.5,0.9147
"23/03/2004","06:00:00",0.5,26,1.8,33,47,9.6,75.4,0.9004
"23/03/2004","07:00:00",1.1,60,4.6,103,88,9.8,75,0.9093
"23/03/2004","08:00:00",3,248,14.2,224,130,10,74.2,0.9117
"23/03/2004","09:00:00",3.8,535,21,244,132,11.2,69.7,0.9232
"23/03/2004","10:00:00",3.4,340,16.2,237,132,12,62.9,0.8803
"23/03/2004","11:00:00",3,325,15.5,220,131,12.8,55.8,0.821
"23/03/2004","12:00:00",2.7,267,13.4,207,129,13.1,54.8,0.8234
"23/03/2004","13:00:00",3.5,325,16.9,208,132,13.8,53.4,0.8351
"23/03/2004","14:00:00",2.8,268,12.4,160,110,16,42.4,0.7674
"23/03/2004","15:00:00",1.9,136,10.1,131,99,14.1,49.8,0.7971
"23/03/2004","16:00:00",2,118,8.7,128,100,12,61.1,0.8537
"23/03/2004","17:00:00",3,276,13.8,176,122,13.6,54.6,0.8465
"23/03/2004","18:00:00",1.9,151,9.3,107,97,13.7,49.5,0.7695
"23/03/2004","19:00:00",2.7,236,13,131,112,11.7,57.1,0.7822
"23/03/2004","20:00:00",3.3,220,14.3,166,128,11.5,58.2,0.7867
"23/03/2004","21:00:00",1.7,87,7.6,89,101,12.6,54.2,0.7881
"23/03/2004","22:00:00",1.3,81,5.3,81,96,12,54.9,0.7664
"23/03/2004","23:00:00",1.3,74,5.4,78,86,11,61.4,0.8057
"24/03/2004","00:00:00",1.2,55,4.9,70,85,11.1,62.2,0.8199
"24/03/2004","01:00:00",1.1,74,4.6,76,79,10.8,62.5,0.8082
"24/03/2004","02:00:00",0.9,35,2.7,43,61,11.3,60,0.8025
"24/03/2004","05:00:00",0.6,20,1.2,34,54,10.9,58.6,0.7628
"24/03/2004","06:00:00",0.8,32,1.7,43,57,10.8,57.2,0.7382
"24/03/2004","07:00:00",1.2,84,4.8,79,75,10.4,59.2,0.7455
"24/03/2004","08:00:00",3.1,245,13.8,174,97,11,57.3,0.7501
"24/03/2004","09:00:00",4.4,553,23.7,235,110,11.2,56.9,0.7565
"24/03/2004","10:00:00",3.4,450,14.2,218,113,12.1,54.9,0.7734
"24/03/2004","11:00:00",1.7,118,8,136,88,15.1,44.3,0.7535
"24/03/2004","12:00:00",1.5,118,6.7,117,85,15.6,40.6,0.7146
"24/03/2004","13:00:00",1.7,144,8.7,119,96,16.9,34.6,0.6597
"24/03/2004","14:00:00",2.2,159,10.8,126,106,16.6,35.6,0.6697
"24/03/2004","16:00:00",2.7,230,11.4,197,126,9.6,81.1,0.972
"24/03/2004","17:00:00",2.8,320,13.4,195,130,11.7,69.1,0.9497
"24/03/2004","18:00:00",2.7,263,12,156,111,10.7,68.5,0.8794
"24/03/2004","19:00:00",4.5,556,20.2,247,134,10.7,67.3,0.8643
"24/03/2004","20:00:00",3.5,458,14.4,190,136,10.8,65.7,0.8486
"24/03/2004","21:00:00",2.6,214,9.4,169,125,10.3,66.3,0.8336
"24/03/2004","22:00:00",1.7,97,5.9,118,108,10.1,66.9,0.8248
"24/03/2004","23:00:00",1.3,79,4.5,81,87,10.4,61.1,0.7717
"25/03/2004","00:00:00",1.3,81,4.5,80,89,10.3,59.9,0.7516
"25/03/2004","01:00:00",1,52,2.5,42,58,11,58.4,0.7686
"25/03/2004","02:00:00",0.7,38,1.8,38,54,9.1,68.1,0.789
"25/03/2004","04:00:00",0.5,29,0.9,18,28,9.3,72.3,0.8496
"25/03/2004","05:00:00",0.5,21,0.6,12,20,9.9,66.8,0.8152
"25/03/2004","06:00:00",0.6,46,1.4,43,51,7.6,83.2,0.8695
"25/03/2004","07:00:00",1.1,55,3.8,84,82,8.1,79,0.8544
"25/03/2004","08:00:00",2.7,271,11.6,184,112,8.7,74.6,0.8429
"25/03/2004","09:00:00",3.5,434,17.8,202,119,8.6,75.1,0.8415
"25/03/2004","10:00:00",2.3,300,8.8,133,99,9.7,69.7,0.8389
"25/03/2004","11:00:00",1.6,116,6.8,130,98,11,64.4,0.8447
"25/03/2004","12:00:00",1.3,95,5.9,106,88,13.6,53,0.8209
"25/03/2004","13:00:00",2,211,8.9,132,96,14.2,48.4,0.778
"25/03/2004","14:00:00",1.9,168,8.2,106,81,14.2,46.3,0.7438
"25/03/2004","15:00:00",1.9,154,8.6,125,92,16,41.3,0.7462
"25/03/2004","16:00:00",2.2,267,10.1,138,105,17.7,35.4,0.7094
"25/03/2004","17:00:00",2,143,9.4,120,88,17.1,37.4,0.7225
"25/03/2004","18:00:00",2.9,374,14.6,158,103,14.9,40.5,0.6835
"25/03/2004","19:00:00",5.2,797,24.6,253,141,13.4,47.8,0.7293
"25/03/2004","20:00:00",4.6,698,21.6,231,133,12.6,52.5,0.7642
"25/03/2004","21:00:00",2.5,234,10.3,150,119,12.2,53.2,0.7555
"25/03/2004","22:00:00",1.5,104,5.7,99,106,10.6,56.1,0.714
"25/03/2004","23:00:00",1.2,67,4.5,75,92,9.9,59.5,0.7276
"26/03/2004","00:00:00",1.7,88,5.5,93,97,9.6,61.1,0.7323
"26/03/2004","01:00:00",1.4,79,4.8,79,91,9.7,61.6,0.7425
"26/03/2004","02:00:00",1.2,61,3.6,67,83,9.4,62.6,0.7398
"26/03/2004","04:00:00",0.7,40,2.2,45,59,8,69.4,0.7459
"26/03/2004","05:00:00",0.8,52,3,72,73,7.7,72.4,0.7655
"26/03/2004","06:00:00",0.9,64,4,103,78,8,71.8,0.7711
"26/03/2004","07:00:00",1.6,88,6.7,132,90,8.5,66.3,0.7375
"26/03/2004","08:00:00",3.4,375,16.7,239,110,9.8,59.6,0.7214
"26/03/2004","09:00:00",3.8,592,19.3,275,114,11.2,57,0.7544
"26/03/2004","10:00:00",3.1,357,14.8,232,119,14.8,44.1,0.7407
"26/03/2004","11:00:00",2.7,296,13.4,180,121,16.8,35.3,0.6729
"26/03/2004","12:00:00",2,181,11,112,97,19.2,27.1,0.5976
"26/03/2004","13:00:00",2.3,211,12.5,116,99,19.1,26.2,0.5741
"26/03/2004","14:00:00",1.9,199,8.4,103,85,16.3,30.8,0.5683
"26/03/2004","15:00:00",1.3,81,5.3,89,75,14.2,36.8,0.5922
"26/03/2004","16:00:00",1.9,143,8.8,112,87,13.4,41,0.6292
"26/03/2004","17:00:00",2.3,247,11.2,127,102,14.2,43.3,0.6982
"26/03/2004","18:00:00",2.4,239,11.6,125,105,12.1,45.6,0.6403
"26/03/2004","19:00:00",2.7,267,12.4,120,98,10.4,48,0.6046
"26/03/2004","20:00:00",2.6,261,10.6,120,93,10,51.1,0.628
"26/03/2004","21:00:00",1.5,97,6,99,91,9.8,50.8,0.6172
"26/03/2004","22:00:00",1.2,66,4.6,79,85,9.7,50.4,0.6063
"26/03/2004","23:00:00",1.1,60,4.1,66,74,9.9,50.2,0.6103
"27/03/2004","00:00:00",1.5,77,5.2,94,87,9.4,53.4,0.63
"27/03/2004","01:00:00",1,57,3.2,70,79,8.6,57.8,0.6488
"27/03/2004","02:00:00",1.2,65,4.5,75,78,8.1,62.1,0.6746
"27/03/2004","05:00:00",0.8,27,1.9,32,48,8.2,58.9,0.6444
"27/03/2004","06:00:00",0.9,25,2.4,54,59,6.3,66.6,0.641
"27/03/2004","07:00:00",1.1,42,3.3,68,65,7.2,62.9,0.6396
"27/03/2004","08:00:00",1.5,78,6.7,98,71,7.2,63.9,0.65
"27/03/2004","09:00:00",1.8,128,8.5,128,84,11.1,50.5,0.6654
"27/03/2004","10:00:00",2.1,184,9.7,129,93,15.5,36.1,0.6313
"27/03/2004","11:00:00",2.1,156,9.4,130,99,17.8,29.2,0.592
"27/03/2004","12:00:00",1.9,176,9,111,93,17.6,30.1,0.6013
"27/03/2004","13:00:00",2.1,232,10,106,96,19.1,26.8,0.5861
"27/03/2004","14:00:00",2.5,305,12.6,137,114,17.7,28.6,0.5735
"27/03/2004","15:00:00",1.9,150,7.6,113,101,17.8,28.4,0.5737
"27/03/2004","16:00:00",2.2,188,11.8,122,108,18.7,26,0.5555
"27/03/2004","17:00:00",2.3,221,11.2,137,117,17.1,31.3,0.6038
"27/03/2004","18:00:00",2.7,219,12.4,165,125,15.8,36.1,0.644
"27/03/2004","19:00:00",3,306,12.9,196,133,14.7,40.1,0.6657
"27/03/2004","20:00:00",2.8,270,12.2,174,119,13.6,44.9,0.6991
"27/03/2004","21:00:00",2.2,231,8.8,140,107,12.5,48.1,0.6946
"27/03/2004","22:00:00",1.6,125,6.8,102,96,11.8,50.8,0.7042
"27/03/2004","23:00:00",2.1,122,8.6,130,105,10.9,56.1,0.7326
"28/03/2004","00:00:00",2.3,161,8.9,121,102,10.9,55.9,0.7277
"28/03/2004","01:00:00",2.3,101,8.3,111,97,10.3,58.1,0.7278
"28/03/2004","02:00:00",1.7,95,6.3,87,79,9.3,62.2,0.7294
"28/03/2004","04:00:00",1.3,96,5.1,77,69,8.3,64.9,0.7124
"28/03/2004","05:00:00",0.8,54,2.6,39,52,9.6,58.5,0.7
"28/03/2004","06:00:00",1.1,63,3.6,77,62,7.7,66.4,0.699
"28/03/2004","07:00:00",1.4,72,3.6,91,69,7.4,68,0.7043
"28/03/2004","08:00:00",1.3,91,4.7,105,75,9.7,58.6,0.7035
"28/03/2004","09:00:00",1.9,127,7.5,133,83,12.5,50.1,0.7242
"28/03/2004","10:00:00",2.3,193,9,128,94,16.8,36.9,0.7018
"28/03/2004","11:00:00",2.3,188,9.5,126,96,19.2,31.3,0.6887
"28/03/2004","12:00:00",1.8,151,7.7,92,86,21.3,26.4,0.6607
"28/03/2004","13:00:00",1.4,103,5.7,66,72,21.2,23.1,0.5768
"28/03/2004","14:00:00",1,55,3.8,50,53,18.6,25,0.5319
"28/03/2004","15:00:00",1.4,104,4.8,70,65,18,27.3,0.5594
"28/03/2004","16:00:00",1.3,116,4.3,73,70,18.2,28.3,0.5848
"28/03/2004","17:00:00",1.3,93,4.1,77,75,17,31.4,0.6048
"28/03/2004","18:00:00",1.4,93,4.7,86,86,15.6,35,0.617
"28/03/2004","19:00:00",1.9,155,6.2,93,94,14.1,40.2,0.6438
"28/03/2004","20:00:00",1.8,115,5.5,105,103,13.4,43.2,0.6623
"28/03/2004","21:00:00",1.1,75,3.3,67,81,12.3,46.8,0.6686
"28/03/2004","22:00:00",1.1,65,3.2,63,80,11.9,46.5,0.6449
"28/03/2004","23:00:00",1.1,57,2.9,63,77,11.5,46.6,0.6319
"29/03/2004","00:00:00",0.9,40,2.2,46,58,10.6,48,0.6135
"29/03/2004","01:00:00",0.6,27,1.3,21,31,10.7,45.8,0.5895
"29/03/2004","02:00:00",0.5,23,1.1,22,38,10.4,46.6,0.5901
"29/03/2004","04:00:00",0.6,21,1.2,39,59,11.3,46.9,0.628
"29/03/2004","05:00:00",0.7,33,1.7,55,70,10.1,51.2,0.6341
"29/03/2004","06:00:00",0.9,40,2.9,76,75,9.9,50.7,0.6167
"29/03/2004","07:00:00",2.9,279,14.3,181,103,8.1,56.8,0.615
"29/03/2004","08:00:00",4.1,743,19.7,259,134,10.9,44.1,0.5748
"29/03/2004","09:00:00",1.5,147,5.5,118,98,11.8,37.6,0.5184
"29/03/2004","10:00:00",1.5,97,5.6,119,97,13.9,33.2,0.5222
"29/03/2004","11:00:00",1.5,118,5.8,123,98,15.6,30.1,0.5285
"29/03/2004","12:00:00",1.4,91,5.5,92,78,16.5,29,0.5406
"29/03/2004","13:00:00",1.6,146,6.5,91,83,17.5,27.9,0.5517
"29/03/2004","14:00:00",1.5,139,5.5,103,92,17.9,26.8,0.5446
"29/03/2004","15:00:00",1.4,155,5.2,102,81,18.2,26.1,0.5387
"29/03/2004","16:00:00",1.5,128,5.8,94,90,18,27.1,0.5522
"29/03/2004","17:00:00",1.9,166,7.9,98,95,17,28.9,0.5558
"29/03/2004","18:00:00",2.5,299,10.2,126,114,16.1,31.3,0.568
"29/03/2004","19:00:00",2.1,163,8.2,108,106,14.5,35.4,0.5839
"29/03/2004","20:00:00",1.6,154,5.7,95,99,13.2,37.9,0.5733
"29/03/2004","21:00:00",1.2,80,3.8,78,90,13.1,34.4,0.517
"29/03/2004","22:00:00",1.1,58,4,61,82,13.5,28.5,0.4405
"29/03/2004","23:00:00",1,55,2.8,55,74,12.4,31.9,0.4583
"30/03/2004","00:00:00",1,33,2.6,57,76,13.1,26.8,0.4023
"30/03/2004","01:00:00",0.7,33,1.8,41,66,11.6,33.6,0.4595
"30/03/2004","02:00:00",0.7,32,1.7,46,73,10.5,42.9,0.5442
"30/03/2004","05:00:00",0.7,26,2.3,52,71,12.9,33.9,0.5037
"30/03/2004","06:00:00",1.1,86,5.3,111,98,11.3,40.3,0.5376
"30/03/2004","07:00:00",2.6,294,13.4,191,115,11.9,38.4,0.5341
"30/03/2004","08:00:00",4,664,23.8,244,130,13.3,35.6,0.5416
"30/03/2004","09:00:00",4.2,695,21.5,283,150,16.3,28.8,0.5305
"30/03/2004","10:00:00",4.7,735,21,320,159,17.9,28.2,0.5741
"30/03/2004","11:00:00",3.9,649,18.4,249,146,18.3,26.6,0.5529
"30/03/2004","12:00:00",3.7,586,18.9,219,138,20.8,22.5,0.5463
"30/03/2004","13:00:00",3.4,546,17.1,200,128,22.4,20,0.5352
"30/03/2004","14:00:00",2.2,245,10.4,138,97,20.9,21.7,0.5295
"30/03/2004","15:00:00",1.9,178,8,118,91,19.1,26.5,0.579
