Id,Price,Brand,Model,Year,Title_status,Mileage,Color,Vin,State,Country,Sell_time
80,12520,gmc,door,2017,clean vehicle,31992,black,  1gks2gkcxhr328718,california, usa,20 hours left
81,17900,jeep,compass,2019,clean vehicle,32501,red,  3c4njddb7kt682015,north carolina, usa,2 days left
82,18300,chevrolet,camaro,2017,clean vehicle,28395,black,  1g1fb3dx5h0143964,florida, usa,22 hours left
83,4640,ford,door,2017,clean vehicle,36139,blue,  1fmcu0g95huc13712,texas, usa,2 days left
84,24000,ford,door,2016,clean vehicle,84413,black,  1ftfw1ef1gfb13670,pennsylvania, usa,3 days left
85,13200,gmc,door,2017,clean vehicle,33457,white,  1gks2gkc5hr326410,california, usa,20 hours left
86,18000,jeep,compass,2019,clean vehicle,29245,gray,  3c4njddb0kt686052,north carolina, usa,2 days left
87,14900,chevrolet,equinox,2017,clean vehicle,12783,silver,  2gnalcek7h1548351,florida, usa,22 hours left
88,4140,ford,door,2017,clean vehicle,17617,white,  1fmcu0gd5huc78080,texas, usa,2 days left
89,11500,ford,door,2016,clean vehicle,36855,black,  1fmcu9gx9gua57286,pennsylvania, usa,2 days left
90,9110,ford,door,2017,clean vehicle,110316,white,  1ftfw1ef5hkc50264,texas, usa,2 days left
91,7350,chrysler,door,2015,clean vehicle,88227,black,  1c3cccab7fn613884,pennsylvania, usa,2 days left
92,24500,bmw,door,2017,clean vehicle,17626,gray,  wba4f9c51hg439932,michigan, usa,2 days left
93,9300,ford,door,2017,clean vehicle,120353,white,  1ftfw1ef4hkc50286,texas, usa,2 days left
94,39800,dodge,challenger,2015,clean vehicle,3641,white,  2c3cdzc95fh757310,pennsylvania, usa,2 days left
95,53500,bmw,m,2017,clean vehicle,29355,blue,  5ymkt6c37h0x20696,michigan, usa,2 days left
96,15110,ford,door,2017,clean vehicle,39333,black,  1ft7w2bt7hec41164,texas, usa,2 days left
97,34000,ford,door,2015,clean vehicle,42930,white,  1ft8w3b61fec52078,pennsylvania, usa,2 days left
98,26502,chevrolet,colorado,2017,clean vehicle,24993,black,  1gcgtcen4h1158648,michigan, usa,20 hours left
99,5990,ford,mpv,2017,clean vehicle,44929,black,  1fm5k7b86hga87008,texas, usa,2 days left
100,13600,ford,focus,2018,clean vehicle,16971,black,  1fadp3m26jl307477,south carolina, usa,21 hours left
101,23605,cadillac,door,2017,clean vehicle,35598,gray,  1gyknbrsxhz114969,michigan, usa,2 days left
102,10780,ford,mpv,2017,clean vehicle,40455,white,  1fm5k8ht0hga07252,texas, usa,2 days left
103,13800,ford,focus,2018,clean vehicle,23164,white,  1fadp3j2xjl279400,south carolina, usa,21 hours left
104,25201,cadillac,door,2017,clean vehicle,19011,no_color,  1gyknbrs8hz257399,michigan, usa,2 days left
105,7070,ford,mpv,2017,clean vehicle,45191,white,  1fm5k7d82hgb39148,texas, usa,2 days left
106,8700,ford,focus,2018,clean vehicle,21405,white,  1fadp3k23jl219764,south carolina, usa,21 hours left
107,18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,  1g1zh5sx7hf141060,michigan, usa,17 hours left
108,8530,ford,door,2017,clean vehicle,42104,black,  1fm5k7f80hga03159,texas, usa,2 days left
109,23100,dodge,durango,2018,clean vehicle,49496,white,  1c4rdjdg2jc329601,south carolina, usa,21 hours left
110,24500,cadillac,door,2017,clean vehicle,32418,white,  1gykndrs1hz125239,michigan, usa,2 days left
111,7000,ford,mpv,2017,clean vehicle,29882,white,  1fm5k7d84hgc31359,texas, usa,2 days left
112,17000,ford,escape,2018,clean vehicle,34819,gold,  1fmcu9hd6juc54783,south carolina, usa,21 hours left
113,34002,chevrolet,1500,2017,clean vehicle,31923,white,  3gcuktej3hg475034,michigan, usa,2 days left
114,6980,ford,mpv,2017,clean vehicle,29168,gray,  1fm5k7d8xhga68751,texas, usa,2 days left
115,25000,dodge,charger,2018,clean vehicle,28307,silver,  2c3cdxjg6jh224431,michigan, usa,21 hours left
116,20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,  1gcgtben3h1180134,michigan, usa,2 days left
117,9200,ford,door,2017,clean vehicle,21770,black,  1ftew1ep8hfa10123,texas, usa,2 days left
118,26500,chrysler,pacifica,2017,clean vehicle,18375,gray,  2c4rc1eg2hr669530,michigan, usa,21 hours left
119,24802,chevrolet,colorado,2017,clean vehicle,14158,gray,  1gcgtcen9h1202076,michigan, usa,2 days left
120,7070,ford,mpv,2017,clean vehicle,30318,black,  1fm5k7d82hgb21314,texas, usa,2 days left
121,28500,ford,door,2017,clean vehicle,48086,red,  1ftew1ep2hkd15978,south carolina, usa,21 hours left
122,47500,cadillac,door,2017,clean vehicle,26562,black,  1gys4ckj7hr359884,michigan, usa,2 days left
123,23500,ford,explorer,2017,clean vehicle,57611,black,  1fm5k8f80hgc67231,south carolina, usa,21 hours left
124,23505,chevrolet,colorado,2017,clean vehicle,47357,black,  1gcptce16h1176629,michigan, usa,2 hours left
125,10940,ford,door,2017,clean vehicle,84916,white,  1ftew1ef1hke25038,texas, usa,2 days left
126,32100,ford,f-150,2017,clean vehicle,24521,gray,  1ftfw1eg1hfb38806,south carolina, usa,21 hours left
127,53000,chevrolet,3500,2018,clean vehicle,16105,black,  1gc4k1ey0jf149152,washington, usa,21 hours left
128,6830,ford,mpv,2017,clean vehicle,35888,gold,  1fm5k7dh9hgb05630,texas, usa,2 days left
129,11900,dodge,caravan,2017,clean vehicle,59537,gray,  2c4rdgcg3hr864989,south carolina, usa,21 hours left
130,26414,chevrolet,1500,2017,clean vehicle,55222,black,  3gcukrec3hg429109,michigan, usa,20 hours left
131,4160,dodge,mpv,2018,clean vehicle,32870,gray,  3c4pdcab8jt166940,florida, usa,17 hours left
132,19405,chevrolet,door,2017,clean vehicle,39687,silver,  1gnkvgkd0hj145877,michigan, usa,3 hours left
133,5690,dodge,mpv,2018,clean vehicle,47085,silver,  2c4rdgeg8jr337145,florida, usa,17 hours left
134,25900,chrysler,van,2017,clean vehicle,32224,silver,  2c4rc1gg4hr635019,south carolina, usa,21 hours left
135,24005,chevrolet,1500,2017,clean vehicle,51293,beige,  1gcukrecxhf153500,michigan, usa,20 hours left
136,5090,dodge,mpv,2018,clean vehicle,42989,gray,  2c4rdgcg2jr218218,florida, usa,17 hours left
137,19500,chrysler,300,2017,clean vehicle,31311,gray,  2c3ccabg5hh538726,arizona, usa,34 minutes
138,32012,chevrolet,1500,2017,clean vehicle,46091,white,  3gcuksej6hg353147,michigan, usa,2 days left
139,6800,dodge,dart,2016,clean vehicle,49033,black,  1c3cdffh0gd823262,michigan, usa,2 days left
140,4260,dodge,mpv,2018,clean vehicle,33957,gray,  3c4pdcabxjt311007,florida, usa,16 hours left
141,0,dodge,van,2008,salvage insurance,177948,orange,  2d8hn44h88r669549,utah, usa,2 days left
142,31802,chevrolet,2500,2017,clean vehicle,19845,silver,  1gc1kveg3hf189737,michigan, usa,20 hours left
143,7210,dodge,doors,2018,clean vehicle,38910,black,  2c3cdxct1jh233225,florida, usa,16 hours left
144,0,dodge,door,2014,salvage insurance,123660,silver,  1c3cdzab0en111068,utah, usa,2 days left
145,28402,chevrolet,1500,2017,clean vehicle,31234,black,  3gcukrec4hg196549,michigan, usa,2 days left
146,6800,dodge,doors,2018,clean vehicle,36767,gray,  2c3cdxhgxjh125388,florida, usa,16 hours left
147,33300,cadillac,esv,2015,clean vehicle,57932,gray,  1gys4tkj0fr538846,washington, usa,21 hours left
148,10780,dodge,mpv,2018,clean vehicle,19420,white,  1c4sdjct1jc174166,florida, usa,16 hours left
149,6700,ford,cutaway,2014,clean vehicle,204155,beige,  1fdfe4fs7eda23699,pennsylvania, usa,3 days left
150,20000,chevrolet,1500,2016,clean vehicle,93493,white,  3gcuknec9gg342967,washington, usa,21 hours left
151,6440,chrysler,doors,2018,clean vehicle,20942,gray,  2c3ccakg8jh168457,florida, usa,17 hours left
152,19900,ford,door,2016,clean vehicle,86826,gray,  1fm5k8f8xggc51519,south carolina, usa,21 hours left
153,37000,chevrolet,door,2015,clean vehicle,45787,white,  1gc1kwegxff145382,washington, usa,21 hours left
154,4040,dodge,mpv,2018,clean vehicle,50765,red,  3c4pdcab6jt273002,florida, usa,16 hours left
155,22300,ford,explorer,2016,clean vehicle,62774,black,  1fm5k8fh9ggc37790,south carolina, usa,21 hours left
156,31200,chevrolet,door,2011,clean vehicle,76326,gray,  1gc1kxc86bf208814,washington, usa,21 hours left
157,4290,dodge,mpv,2018,clean vehicle,39029,white,  3c4pdcab0jt474412,florida, usa,16 hours left
158,22800,ford,el,2016,clean vehicle,72885,silver,  1fmjk1ht3gef52975,south carolina, usa,21 hours left
159,19002,cadillac,door,2016,clean vehicle,46467,white,  1g6ah1rx1g0193887,michigan, usa,20 hours left
160,4160,dodge,mpv,2018,clean vehicle,6743,gray,  3c4pdcab8jt384019,florida, usa,16 hours left
161,18500,ford,edge,2016,clean vehicle,33514,white,  2fmpk3j98gbb59781,south carolina, usa,21 hours left
162,39000,bmw,series,2016,clean vehicle,39917,blue,  wba7f2c57gg421020,michigan, usa,2 days left
163,6060,dodge,doors,2018,clean vehicle,32504,black,  3c4pddgg1jt523058,florida, usa,18 hours left
164,28800,ford,door,2016,clean vehicle,77638,white,  1ftew1ep1gfc64335,south carolina, usa,21 hours left
165,40000,bmw,series,2016,clean vehicle,31727,gray,  wba7f2c55gg415264,michigan, usa,2 days left
166,6140,dodge,doors,2018,clean vehicle,52966,silver,  2c3cdxbg0jh187083,florida, usa,16 hours left
167,21000,ford,flex,2016,clean vehicle,24157,gray,  2fmhk6c89gba05297,south carolina, usa,21 hours left
168,20105,buick,door,2016,clean vehicle,51393,beige,  5gakvbkd8gj196085,michigan, usa,20 hours left
169,6760,dodge,doors,2018,clean vehicle,35461,white,  2c3cdzag7jh321665,florida, usa,16 hours left
170,25800,ford,door,2014,clean vehicle,47055,brown,  1ft7x2b62eea29551,pennsylvania, usa,1 days left
171,39000,bmw,series,2016,clean vehicle,33110,black,  wba7f2c57gg419607,michigan, usa,2 days left
172,5470,dodge,mpv,2018,clean vehicle,39721,black,  3c4pdcgg9jt216280,florida, usa,16 hours left
173,14600,ford,door,2014,clean vehicle,75785,black,  1fm5k8f81egb23411,pennsylvania, usa,21 hours left
174,24502,chevrolet,1500,2016,clean vehicle,33624,black,  3gcuknec6gg150809,michigan, usa,20 hours left
175,15110,ford,door,2017,clean vehicle,42289,white,  1ft7w2bt7hec67263,texas, usa,2 days left
176,7900,ford,door,2014,clean vehicle,79422,white,  1fmcu0g9xeud52262,new york, usa,21 hours left
177,27305,chevrolet,door,2016,clean vehicle,28844,blue,  3gcukrec5gg383569,michigan, usa,3 hours left
178,15290,ford,door,2017,clean vehicle,66582,white,  1ft7w2bt0hef21363,texas, usa,2 days left
179,26500,ford,door,2015,clean vehicle,61436,silver,  1ftew1cf3fke12825,south carolina, usa,21 hours left
180,25502,chevrolet,door,2016,clean vehicle,58303,silver,  3gcukrec0gg380000,michigan, usa,20 hours left
181,7320,ford,mpv,2017,clean vehicle,55618,white,  1fmzk1cmxhkb51025,texas, usa,2 days left
182,3800,chevrolet,van,2009,clean vehicle,261648,white,  1gbhg396191112177,michigan, usa,2 days left
183,24502,chevrolet,door,2016,clean vehicle,33045,white,  3gcukrec4gg223800,michigan, usa,20 hours left
184,4140,ford,door,2017,clean vehicle,40747,white,  3fa6p0h73hr358945,texas, usa,2 days left
185,1400,dodge,pk,2002,clean vehicle,185460,black,  1b7hg38n62s587845,michigan, usa,2 days left
186,18402,cadillac,srx,2016,clean vehicle,26667,gray,  3gyfnae36gs538333,michigan, usa,2 days left
187,4160,ford,door,2017,clean vehicle,37176,white,  3fa6p0hd3hr199785,texas, usa,2 days left
188,175,chrysler,door,2000,salvage insurance,231240,red,  2c3hd46r3yh208325,north carolina, usa,3 days left
189,24503,chevrolet,colorado,2016,clean vehicle,18006,brown,  1gchtde32g1339478,michigan, usa,20 hours left
190,15840,ford,door,2017,clean vehicle,72445,white,  1ft7w2bt8hec67434,texas, usa,2 days left
191,20500,ford,door,2014,clean vehicle,123355,black,  1ftfw1et9efb99877,south carolina, usa,21 hours left
192,21003,chevrolet,1500,2016,clean vehicle,44116,silver,  1gcvknec1gz396932,michigan, usa,32 minutes
193,4200,ford,door,2017,clean vehicle,60219,red,  3fa6p0hd7hr273550,texas, usa,2 days left
194,17400,ford,door,2011,clean vehicle,135077,red,  1ftfw1ef1bfa03548,georgia, usa,21 hours left
195,32001,chevrolet,door,2016,clean vehicle,32058,black,  3gcuktec5gg350066,michigan, usa,2 days left
196,0,ford,mpv,2017,clean vehicle,76858,white,  1fbax2cv0hkb32599,texas, usa,2 days left
197,15700,ford,cab,2011,clean vehicle,309564,white,  1fduf5gt8bea80212,south carolina, usa,21 hours left
198,31009,chevrolet,door,2016,clean vehicle,33928,white,  3gcuksec3gg369662,michigan, usa,2 days left
199,3740,ford,wagon,2017,clean vehicle,90618,white,  nm0ls7e76h1312963,texas, usa,2 days left
200,5000,dodge,pickup,2001,clean vehicle,109360,white,  1b7hc16x01s213315,georgia, usa,21 hours left
201,31002,chevrolet,door,2016,clean vehicle,71809,white,  1gc1kve82gf207345,michigan, usa,20 hours left
202,3160,ford,doors,2017,clean vehicle,31563,gray,  1fadp3e24hl348263,texas, usa,2 days left
203,8600,dodge,pickup,2005,clean vehicle,219823,gray,  3d7ks28c15g771945,south carolina, usa,21 hours left
204,6000,chevrolet,malibu,2018,clean vehicle,42090,gray,  1g1zb5st8jf226848,texas, usa,21 hours left
205,12990,ford,door,2017,clean vehicle,126523,white,  1ft7w2b60hec03964,texas, usa,2 days left
206,25,chevrolet,vehicl,2020,salvage insurance,7232,black,  2gnaxkev6l6128374,kentucky, usa,3 days left
207,13200,buick,encore,2017,clean vehicle,60171,black,  kl4cjcsb1hb024411,texas, usa,21 hours left
208,4410,ford,wagon,2017,clean vehicle,209915,white,  nm0ls7e79h1312701,texas, usa,2 days left
209,25,chrysler,door,2005,salvage insurance,151815,silver,  2c3ja43r35h179032,massachusetts, usa,3 days left
210,22500,chevrolet,camaro,2020,clean vehicle,13826,green,  1g1fb1rx6l0109117,georgia, usa,3 days left
211,7420,ford,mpv,2017,clean vehicle,55854,white,  1fmzk1cm1hkb51026,texas, usa,2 days left
212,13500,ford,door,2016,clean vehicle,45757,silver,  1fatp8uhxg5296168,arizona, usa,20 hours left
213,15500,chevrolet,trax,2020,clean vehicle,16545,white,  3gncjlsb1ll142267,georgia, usa,3 days left
214,3540,ford,door,2017,clean vehicle,112893,white,  3fa6p0g73hr140652,texas, usa,2 days left
215,17000,ford,door,2016,clean vehicle,126802,no_color,  1ft7w2b60geb96643,florida, usa,2 hours left
216,45500,chevrolet,tahoe,2020,clean vehicle,13303,white,  1gnscbkc4lr164829,georgia, usa,3 days left
217,4130,ford,door,2017,clean vehicle,34061,silver,  3fa6p0hd8hr305132,texas, usa,2 days left
218,15700,ford,door,2015,clean vehicle,70251,white,  1ftew1cg0ffa89853,arizona, usa,14 hours left
219,45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,  1gnscbkcxlr162857,georgia, usa,3 days left
220,4130,ford,doors,2017,clean vehicle,42426,gray,  3fa6p0lu4hr246569,texas, usa,2 days left
221,15500,dodge,door,2012,clean vehicle,66452,black,  1c6rd7lt4cs187334,pennsylvania, usa,2 days left
222,16300,chevrolet,trax,2020,clean vehicle,18221,white,  3gncjlsb4ll149763,georgia, usa,3 days left
223,4530,ford,mpv,2017,clean vehicle,41455,white,  1fmzk1cm7hkb51015,texas, usa,2 days left
224,15600,dodge,door,2011,clean vehicle,35275,black,  1d7rw3gp7bs614101,pennsylvania, usa,2 days left
225,45500,chevrolet,tahoe,2020,clean vehicle,13885,white,  1gnscbkc6lr159535,georgia, usa,3 days left
226,4100,ford,door,2017,clean vehicle,38815,gray,  3fa6p0hd2hr178393,texas, usa,2 days left
227,18200,dodge,door,2011,clean vehicle,162281,white,  3d73y4clxbg535425,pennsylvania, usa,2 days left
228,10200,chevrolet,door,2013,clean vehicle,56479,black,  2g1fc3d32d9188287,texas, usa,21 hours left
229,4080,ford,doors,2017,clean vehicle,61027,black,  3fa6p0luxhr231039,texas, usa,2 days left
230,5700,ford,van,2014,clean vehicle,178703,white,  1ftss3el7eda50076,florida, usa,2 hours left
231,10200,chevrolet,3500,2014,clean vehicle,173469,white,  1gc3czcg1ef176545,texas, usa,21 hours left
232,5000,ford,door,2017,clean vehicle,37321,white,  3fa6p0k93hr257687,texas, usa,2 days left
233,1700,ford,door,2014,clean vehicle,112789,white,  1fadp3f20el320177,florida, usa,2 hours left
234,6200,bmw,door,2011,clean vehicle,80394,gray,  wbaph7g58bnn05983,texas, usa,21 hours left
235,3650,ford,door,2016,clean vehicle,68142,white,  1fmcu0f78gub36672,texas, usa,2 days left
236,10500,dodge,door,2014,clean vehicle,74203,white,  2c3cdxct3eh230364,arizona, usa,1 days left
237,43500,chevrolet,2500,2018,clean vehicle,57604,white,  1gc1kwey3jf123662,georgia, usa,6 days left
238,4610,dodge,van,2016,clean vehicle,87229,silver,  2c4rdgbg2gr345223,texas, usa,2 days left
239,3450,ford,door,2012,clean vehicle,90711,white,  3fahp0ha5cr389742,florida, usa,1 days left
240,38500,chevrolet,suburban,2018,clean vehicle,11135,silver,  1gnschkc6jr269601,georgia, usa,3 days left
241,6810,ford,mpv,2016,clean vehicle,66781,silver,  2fmpk3k95gbb76939,texas, usa,2 days left
242,2900,ford,cargo,2011,clean vehicle,190994,white,  1ftne2ew6bda76057,florida, usa,2 hours left
243,43500,chevrolet,2500,2018,clean vehicle,56007,white,  1gc1kwey6jf259008,georgia, usa,6 days left
244,4450,ford,mpv,2016,clean vehicle,32486,white,  2fmpk3g96gbc42228,texas, usa,2 days left
245,5800,ford,door,2011,clean vehicle,195908,white,  1ftew1cm0bfc14625,florida, usa,2 hours left
246,16500,chevrolet,equinox,2018,clean vehicle,18020,silver,  2gnaxjev9j6276848,georgia, usa,3 days left
247,4240,dodge,mpv,2016,clean vehicle,83262,white,  3c4pdcbb9gt181387,texas, usa,2 days left
248,26500,ford,pickup,2008,clean vehicle,62015,white,  1ftxw43r18eb10682,pennsylvania, usa,1 days left
249,13700,chevrolet,equinox,2017,clean vehicle,36421,silver,  2gnalcek6h6289807,georgia, usa,3 days left
250,8600,ford,door,2016,clean vehicle,73321,white,  1ftew1cf8gkd34592,texas, usa,2 days left
251,8000,ford,chassis,2008,clean vehicle,132379,white,  1fdxf46r08ea18180,florida, usa,2 days left
252,14200,chevrolet,equinox,2017,clean vehicle,28013,silver,  2gnalcek6h6288804,georgia, usa,3 days left
253,7040,ford,mpv,2016,clean vehicle,33291,silver,  2fmpk3k80gbc65759,texas, usa,2 days left
254,4700,ford,chassis,2005,clean vehicle,225236,no_color,  1fdxf46p35ea79064,florida, usa,2 hours left
255,30851,chevrolet,door,2016,clean vehicle,43176,red,  3gcuksec6gg284475,georgia, usa,2 days left
256,4880,ford,mpv,2016,clean vehicle,36876,silver,  2fmpk4g97gbc51848,texas, usa,2 days left
